20170131 20:52:05.670 - [IMTP][CLEAR] OrderBookId: 1614, Side: B
20170131 20:52:05.675 - [IMTP][CLEAR] OrderBookId: 1614, Side: S
20170131 20:52:05.675 - [IMSS] Group: 259, OrderBookId: 1580
20170131 20:52:05.676 - [IMTP][CLEAR] OrderBookId: 1580, Side: B
20170131 20:52:05.676 - [IMTP][CLEAR] OrderBookId: 1580, Side: S
20170131 20:52:05.676 - [IMSS] Group: 259, OrderBookId: 3382
20170131 20:52:05.679 - [IMTP][CLEAR] OrderBookId: 3382, Side: B
20170131 20:52:05.679 - [IMTP][CLEAR] OrderBookId: 3382, Side: S
20170131 20:52:05.679 - [IMSS] Group: 259, OrderBookId: 2352
20170131 20:52:05.680 - [IMTP][CLEAR] OrderBookId: 2352, Side: B
20170131 20:52:05.680 - [IMTP][CLEAR] OrderBookId: 2352, Side: S
20170131 20:52:05.680 - [IMSS] Group: 259, OrderBookId: 2034
20170131 20:52:05.681 - [IMTP][CLEAR] OrderBookId: 2034, Side: B
20170131 20:52:05.681 - [IMTP][CLEAR] OrderBookId: 2034, Side: S
20170131 20:52:05.681 - [IMSS] Group: 259, OrderBookId: 7035
20170131 20:52:05.682 - [IMTP][CLEAR] OrderBookId: 7035, Side: B
20170131 20:52:05.683 - [IMTP][CLEAR] OrderBookId: 7035, Side: S
20170131 20:52:05.683 - [IMSS] Group: 259, OrderBookId: 1299
20170131 20:52:05.683 - [IMTP][CLEAR] OrderBookId: 1299, Side: B
20170131 20:52:05.683 - [IMTP][CLEAR] OrderBookId: 1299, Side: S
20170131 20:52:05.683 - [IMSS] Group: 259, OrderBookId: 1217
20170131 20:52:05.694 - [IMTP][CLEAR] OrderBookId: 1217, Side: B
20170131 20:52:05.694 - [IMTP][CLEAR] OrderBookId: 1217, Side: S
20170131 20:52:05.694 - [IMSS] Group: 259, OrderBookId: 1969
20170131 20:52:05.696 - [IMTP][CLEAR] OrderBookId: 1969, Side: B
20170131 20:52:05.696 - [IMTP][CLEAR] OrderBookId: 1969, Side: S
20170131 20:52:05.696 - [IMSS] Group: 259, OrderBookId: 2117
20170131 20:52:05.697 - [IMTP][CLEAR] OrderBookId: 2117, Side: B
20170131 20:52:05.697 - [IMTP][CLEAR] OrderBookId: 2117, Side: S
20170131 20:52:05.697 - [IMSS] Group: 259, OrderBookId: 6433
20170131 20:52:05.698 - [IMTP][CLEAR] OrderBookId: 6433, Side: B
20170131 20:52:05.698 - [IMTP][CLEAR] OrderBookId: 6433, Side: S
20170131 20:52:05.698 - [IMSS] Group: 259, OrderBookId: 7639
20170131 20:52:05.699 - [IMTP][CLEAR] OrderBookId: 7639, Side: B
20170131 20:52:05.699 - [IMTP][CLEAR] OrderBookId: 7639, Side: S
20170131 20:52:05.700 - [IMSS] Group: 259, OrderBookId: 1824
20170131 20:52:05.700 - [IMTP][CLEAR] OrderBookId: 1824, Side: B
20170131 20:52:05.700 - [IMTP][CLEAR] OrderBookId: 1824, Side: S
20170131 20:52:05.701 - [IMSS] Group: 259, OrderBookId: 1617
20170131 20:52:05.701 - [IMTP][CLEAR] OrderBookId: 1617, Side: B
20170131 20:52:05.701 - [IMTP][CLEAR] OrderBookId: 1617, Side: S
20170131 20:52:05.701 - [IMSS] Group: 259, OrderBookId: 1397
20170131 20:52:05.702 - [IMTP][CLEAR] OrderBookId: 1397, Side: B
20170131 20:52:05.702 - [IMTP][CLEAR] OrderBookId: 1397, Side: S
20170131 20:52:05.702 - [IMSS] Group: 259, OrderBookId: 1370
20170131 20:52:05.703 - [IMTP][CLEAR] OrderBookId: 1370, Side: B
20170131 20:52:05.703 - [IMTP][CLEAR] OrderBookId: 1370, Side: S
20170131 20:52:05.703 - [IMSS] Group: 259, OrderBookId: 1595
20170131 20:52:05.704 - [IMTP][CLEAR] OrderBookId: 1595, Side: B
20170131 20:52:05.704 - [IMTP][CLEAR] OrderBookId: 1595, Side: S
20170131 20:52:05.704 - [IMSS] Group: 259, OrderBookId: 2268
20170131 20:52:05.704 - [IMTP][CLEAR] OrderBookId: 2268, Side: B
20170131 20:52:05.704 - [IMTP][CLEAR] OrderBookId: 2268, Side: S
20170131 20:52:05.705 - [IMSS] Group: 259, OrderBookId: 2334
20170131 20:52:05.705 - [IMTP][CLEAR] OrderBookId: 2334, Side: B
20170131 20:52:05.705 - [IMTP][CLEAR] OrderBookId: 2334, Side: S
20170131 20:52:05.705 - [IMSS] Group: 259, OrderBookId: 15272
20170131 20:52:05.706 - [IMTP][CLEAR] OrderBookId: 15272, Side: B
20170131 20:52:05.706 - [IMTP][CLEAR] OrderBookId: 15272, Side: S
20170131 20:52:05.706 - [IMSS] Group: 259, OrderBookId: 2481
20170131 20:52:05.707 - [IMTP][CLEAR] OrderBookId: 2481, Side: B
20170131 20:52:05.707 - [IMTP][CLEAR] OrderBookId: 2481, Side: S
20170131 20:52:05.707 - [IMSS] Group: 259, OrderBookId: 2515
20170131 20:52:05.708 - [IMTP][CLEAR] OrderBookId: 2515, Side: B
20170131 20:52:05.708 - [IMTP][CLEAR] OrderBookId: 2515, Side: S
20170131 20:52:05.708 - [IMSS] Group: 259, OrderBookId: 2153
20170131 20:52:05.708 - [IMTP][CLEAR] OrderBookId: 2153, Side: B
20170131 20:52:05.708 - [IMTP][CLEAR] OrderBookId: 2153, Side: S
20170131 20:52:05.708 - [IMSS] Group: 259, OrderBookId: 4263
20170131 20:52:05.709 - [IMTP][CLEAR] OrderBookId: 4263, Side: B
20170131 20:52:05.709 - [IMTP][CLEAR] OrderBookId: 4263, Side: S
20170131 20:52:05.709 - [IMSS] Group: 259, OrderBookId: 1680
20170131 20:52:05.710 - [IMTP][CLEAR] OrderBookId: 1680, Side: B
20170131 20:52:05.710 - [IMTP][CLEAR] OrderBookId: 1680, Side: S
20170131 20:52:05.710 - [IMSS] Group: 259, OrderBookId: 1307
20170131 20:52:05.711 - [IMTP][CLEAR] OrderBookId: 1307, Side: B
20170131 20:52:05.711 - [IMTP][CLEAR] OrderBookId: 1307, Side: S
20170131 20:52:05.711 - [IMSS] Group: 259, OrderBookId: 1270
20170131 20:52:05.711 - [IMTP][CLEAR] OrderBookId: 1270, Side: B
20170131 20:52:05.711 - [IMTP][CLEAR] OrderBookId: 1270, Side: S
20170131 20:52:05.711 - [IMSS] Group: 259, OrderBookId: 1079
20170131 20:52:05.712 - [IMTP][CLEAR] OrderBookId: 1079, Side: B
20170131 20:52:05.712 - [IMTP][CLEAR] OrderBookId: 1079, Side: S
20170131 20:52:05.712 - [IMSS] Group: 259, OrderBookId: 2049
20170131 20:52:05.713 - [IMTP][CLEAR] OrderBookId: 2049, Side: B
20170131 20:52:05.713 - [IMTP][CLEAR] OrderBookId: 2049, Side: S
20170131 20:52:05.713 - [IMSS] Group: 259, OrderBookId: 2492
20170131 20:52:05.714 - [IMTP][CLEAR] OrderBookId: 2492, Side: B
20170131 20:52:05.714 - [IMTP][CLEAR] OrderBookId: 2492, Side: S
20170131 20:52:05.714 - [IMSS] Group: 259, OrderBookId: 1312
20170131 20:52:05.714 - [IMTP][CLEAR] OrderBookId: 1312, Side: B
20170131 20:52:05.714 - [IMTP][CLEAR] OrderBookId: 1312, Side: S
20170131 20:52:05.714 - [IMSS] Group: 259, OrderBookId: 1957
20170131 20:52:05.715 - [IMTP][CLEAR] OrderBookId: 1957, Side: B
20170131 20:52:05.715 - [IMTP][CLEAR] OrderBookId: 1957, Side: S
20170131 20:52:05.715 - [IMSS] Group: 259, OrderBookId: 1998
20170131 20:52:05.716 - [IMTP][CLEAR] OrderBookId: 1998, Side: B
20170131 20:52:05.716 - [IMTP][CLEAR] OrderBookId: 1998, Side: S
20170131 20:52:05.717 - [IMSS] Group: 259, OrderBookId: 1427
20170131 20:52:05.717 - [IMTP][CLEAR] OrderBookId: 1427, Side: B
20170131 20:52:05.717 - [IMTP][CLEAR] OrderBookId: 1427, Side: S
20170131 20:52:05.717 - [IMSS] Group: 259, OrderBookId: 1479
20170131 20:52:05.718 - [IMTP][CLEAR] OrderBookId: 1479, Side: B
20170131 20:52:05.718 - [IMTP][CLEAR] OrderBookId: 1479, Side: S
20170131 20:52:05.718 - [IMSS] Group: 259, OrderBookId: 3283
20170131 20:52:05.719 - [IMTP][CLEAR] OrderBookId: 3283, Side: B
20170131 20:52:05.719 - [IMTP][CLEAR] OrderBookId: 3283, Side: S
20170131 20:52:05.719 - [IMSS] Group: 259, OrderBookId: 1934
20170131 20:52:05.719 - [IMTP][CLEAR] OrderBookId: 1934, Side: B
20170131 20:52:05.719 - [IMTP][CLEAR] OrderBookId: 1934, Side: S
20170131 20:52:05.719 - [IMSS] Group: 259, OrderBookId: 2215
20170131 20:52:05.720 - [IMTP][CLEAR] OrderBookId: 2215, Side: B
20170131 20:52:05.720 - [IMTP][CLEAR] OrderBookId: 2215, Side: S
20170131 20:52:05.721 - [IMSS] Group: 259, OrderBookId: 2108
20170131 20:52:05.721 - [IMTP][CLEAR] OrderBookId: 2108, Side: B
20170131 20:52:05.721 - [IMTP][CLEAR] OrderBookId: 2108, Side: S
